time,call_id,passenger_id,origin_floor,destination_floor,car_id
3342.801,CALL000412,P00412,2,1,C1
3343.059,CALL000413,P00413,3,1,C2
3353.326,CALL000414,P00414,2,1,C1
3353.339,CALL000415,P00415,7,1,C1
3353.862,CALL000416,P00416,4,1,C1
3380.025,CALL000417,P00417,5,1,C3
3383.592,CALL000418,P00418,3,1,C3
3383.674,CALL000419,P00419,2,1,C2
3392.486,CALL000420,P00420,4,1,C1
3401.609,CALL000421,P00421,4,1,C2
3405.993,CALL000422,P00422,4,1,C3
3414.887,CALL000423,P00423,7,1,C1
3417.857,CALL000424,P00424,2,1,C3
3437.592,CALL000425,P00425,2,1,C3
3438.824,CALL000426,P00426,7,1,C3
3451.022,CALL000427,P00427,7,1,C2
3452.882,CALL000428,P00428,2,1,C3
3455.784,CALL000429,P00429,2,1,C3
3468.172,CALL000430,P00430,4,1,C2
3468.501,CALL000431,P00431,5,1,C2
3474.437,CALL000432,P00432,6,1,C3
3486.55,CALL000433,P00433,6,1,C1
3490.85,CALL000434,P00434,5,1,C2
3507.254,CALL000435,P00435,7,1,C1
3509.597,CALL000436,P00436,6,1,C3
3527.636,CALL000437,P00437,6,1,C2
3527.688,CALL000438,P00438,5,1,C3
3534.517,CALL000439,P00439,8,1,C2
3539.999,CALL000440,P00440,2,1,C1
3542.791,CALL000441,P00441,8,1,C2
3549.846,CALL000442,P00442,8,1,C3
3559.992,CALL000443,P00443,3,1,C1
3592.854,CALL000444,P00444,3,1,C3
3598.335,CALL000445,P00445,7,1,C3
3601.827,CALL000446,P00446,5,1,C1
3614.713,CALL000447,P00447,3,1,C1
3617.229,CALL000448,P00448,5,1,C2
3623.583,CALL000449,P00449,2,1,C2
3625.825,CALL000450,P00450,8,1,C2
3642.225,CALL000451,P00451,3,1,C3
3649.022,CALL000452,P00452,4,1,C1
3660.01,CALL000453,P00453,7,1,C2
3662.183,CALL000454,P00454,7,1,C1
3662.475,CALL000455,P00455,8,1,C3
3666.634,CALL000456,P00456,8,1,C1
3680.067,CALL000457,P00457,7,1,C2
3685.235,CALL000458,P00458,4,1,C2
3702.286,CALL000459,P00459,3,1,C1
3704.799,CALL000460,P00460,5,1,C3
3714.854,CALL000461,P00461,7,1,C1
3721.364,CALL000462,P00462,8,1,C2
3724.141,CALL000463,P00463,7,1,C3
3738.962,CALL000464,P00464,8,1,C3
3745.916,CALL000465,P00465,5,1,C2
3746.114,CALL000466,P00466,8,1,C3
3750.292,CALL000467,P00467,6,1,C1
3750.744,CALL000468,P00468,2,1,C1
3777.106,CALL000469,P00469,5,1,C2
3778.581,CALL000470,P00470,8,1,C3
3802.953,CALL000471,P00471,4,1,C2
3805.416,CALL000472,P00472,2,1,C3
3811.973,CALL000473,P00473,4,1,C3
3814.981,CALL000474,P00474,8,1,C3
3827.607,CALL000475,P00475,4,1,C3
3834.622,CALL000476,P00476,5,1,C3
3838.526,CALL000477,P00477,4,1,C1
3839.852,CALL000478,P00478,4,1,C2
3842.931,CALL000479,P00479,5,1,C1
3854.025,CALL000480,P00480,2,1,C1
3874.311,CALL000481,P00481,5,1,C3
3878.642,CALL000482,P00482,2,1,C2
3884.939,CALL000483,P00483,4,1,C2
3895.465,CALL000484,P00484,5,1,C3
